plexA	736.221361331845	-1.24972603417174	0.0946070174410594	-13.2096547166844	7.71776312170782e-40	6.25138812858334e-38
Thd1	194.552917667536	2.0549949058216	0.166793156424924	12.3206188423359	7.01538640000943e-35	2.84123149200382e-33
ci	188.361741708805	-1.85799796940661	0.175849315899927	-10.5658527012068	4.29051481014843e-26	1.15843899874008e-24
CG9935	323.738347376862	-0.891029952635686	0.125833961398342	-7.08099739318411	1.43120595298017e-12	2.89819205478484e-11
Sox102F	230.473355326554	1.08152523642168	0.165045493309428	6.55289165875027	5.64334607394965e-11	9.14222063979843e-10
CG2177	291.646577871112	-0.905302065974484	0.161092040067539	-5.61978149631061	1.91199116409042e-08	2.58118807152206e-07
CG11148	148.7303153815	0.899255517922025	0.183905800224458	4.88976158894651	1.0095817820029e-06	1.02220155427794e-05
Slip1	57.2887742262541	-1.41072774216176	0.287713523931264	-4.90323750821943	9.42698872709947e-07	1.02220155427794e-05
yellow-h	47.0088837408591	-1.07433737058903	0.31085962312882	-3.45602095175873	0.000548212707047829	0.00493391436343046
dpr7	200.993696795745	0.540279140943912	0.159596445757391	3.38528303923016	0.000711048949587904	0.00575949649166202
myoglianin	343.250948375593	-0.431049504998259	0.13429550249057	-3.20970916377878	0.00132869336745866	0.00978401479674105
CG11076	114.694640375828	0.647421472952064	0.209111933198022	3.09605225799801	0.00196115795032216	0.0132378161646746
unc-13	59.5063873781246	0.823084860954069	0.279861011744581	2.94104868635746	0.0032710311700235	0.0203810403670695
